#ies_format_version: 1.0
#file: 20250801_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	iec_in;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	iec_out;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	iec_in;	iec_out
20250801;	132450;	1754034890.000;	        err7;	        err7
20250801;	132455;	1754034895.000;	        err7;	        err7
20250801;	132500;	1754034900.000;	       err32;	       err32
20250801;	132505;	1754034905.000;	       err32;	       err32
20250801;	132510;	1754034910.000;	       err32;	       err32
20250801;	132515;	1754034915.000;	       err32;	       err32
20250801;	132520;	1754034920.000;	       err32;	       err32
20250801;	132525;	1754034925.000;	       err32;	       err32
20250801;	132530;	1754034930.000;	       err32;	       err32
20250801;	132535;	1754034935.000;	       err32;	       err32
20250801;	132540;	1754034940.000;	       err32;	       err32
20250801;	132545;	1754034945.000;	       err32;	       err32
20250801;	132550;	1754034950.000;	       err32;	       err32
20250801;	132555;	1754034955.000;	       err32;	       err32
20250801;	132600;	1754034960.000;	       err32;	       err32
20250801;	132605;	1754034965.000;	       err32;	       err32
20250801;	132610;	1754034970.000;	       err32;	       err32
20250801;	132615;	1754034975.000;	       err32;	       err32
20250801;	132620;	1754034980.000;	       err32;	       err32
20250801;	132625;	1754034985.000;	       err32;	       err32
20250801;	132630;	1754034990.000;	       err32;	       err32
20250801;	132635;	1754034995.000;	       err32;	       err32
20250801;	132640;	1754035000.000;	       err32;	       err32
20250801;	132645;	1754035005.000;	       err32;	       err32
20250801;	132650;	1754035010.000;	       err32;	       err32
20250801;	132655;	1754035015.000;	       err32;	       err32
20250801;	132700;	1754035020.000;	       err32;	       err32
20250801;	132705;	1754035025.000;	       err32;	       err32
20250801;	132710;	1754035030.000;	       err32;	       err32
20250801;	132715;	1754035035.000;	       err32;	       err32
20250801;	132720;	1754035040.000;	       err32;	       err32
20250801;	132725;	1754035045.000;	       err32;	       err32
20250801;	132730;	1754035050.000;	       err32;	       err32
20250801;	132735;	1754035055.000;	       err32;	       err32
20250801;	132740;	1754035060.000;	       err32;	       err32
20250801;	132745;	1754035065.000;	       err32;	       err32
20250801;	132750;	1754035070.000;	       err32;	       err32
20250801;	132755;	1754035075.000;	       err32;	       err32
20250801;	132800;	1754035080.000;	       err32;	       err32
20250801;	132805;	1754035085.000;	       err32;	       err32
20250801;	132810;	1754035090.000;	       err32;	       err32
20250801;	132815;	1754035095.000;	       err32;	       err32
